Name	Orientation	Spatial Freq.	Temporal Freq.	Value
V1'408	281.25	0.1	1	0
V1'409	281.25	0.1	2	0.272569
V1'410	281.25	0.1	4	0
V1'411	281.25	0.1	8	0
V1'412	281.25	0.2	1	0
V1'413	281.25	0.2	2	0
V1'414	281.25	0.2	4	0
V1'415	281.25	0.2	8	0
V1'416	292.5	0.025	1	0
V1'417	292.5	0.025	2	0
V1'418	292.5	0.025	4	0
V1'419	292.5	0.025	8	0
V1'420	292.5	0.05	1	0
V1'421	292.5	0.05	2	0.205101
V1'422	292.5	0.05	4	0
V1'423	292.5	0.05	8	0
V1'424	292.5	0.1	1	0
V1'425	292.5	0.1	2	0.205101
V1'426	292.5	0.1	4	0
V1'427	292.5	0.1	8	0
V1'428	292.5	0.2	1	0
V1'429	292.5	0.2	2	0
V1'430	292.5	0.2	4	0
V1'431	292.5	0.2	8	0
V1'432	303.75	0.025	1	0
V1'433	303.75	0.025	2	0
V1'434	303.75	0.025	4	0
V1'435	303.75	0.025	8	0
V1'436	303.75	0.05	1	0
V1'437	303.75	0.05	2	0.272569
V1'438	303.75	0.05	4	0
V1'439	303.75	0.05	8	0
V1'440	303.75	0.1	1	0
V1'441	303.75	0.1	2	0.129276
V1'442	303.75	0.1	4	0
V1'443	303.75	0.1	8	0
V1'444	303.75	0.2	1	0
V1'445	303.75	0.2	2	0
V1'446	303.75	0.2	4	0
V1'447	303.75	0.2	8	0
V1'448	315	0.025	1	0
V1'449	315	0.025	2	0
V1'450	315	0.025	4	0
V1'451	315	0.025	8	0
V1'452	315	0.05	1	0
V1'453	315	0.05	2	0.300045
V1'454	315	0.05	4	0
V1'455	315	0.05	8	0
V1'456	315	0.1	1	0
V1'457	315	0.1	2	0.0695568
V1'458	315	0.1	4	0
V1'459	315	0.1	8	0
V1'460	315	0.2	1	0
V1'461	315	0.2	2	0
V1'462	315	0.2	4	0
V1'463	315	0.2	8	0
V1'464	326.25	0.025	1	0
V1'465	326.25	0.025	2	0
V1'466	326.25	0.025	4	0
V1'467	326.25	0.025	8	0
V1'468	326.25	0.05	1	0
V1'469	326.25	0.05	2	0.272569
V1'470	326.25	0.05	4	0
V1'471	326.25	0.05	8	0
V1'472	326.25	0.1	1	0
V1'473	326.25	0.1	2	0.0329317
V1'474	326.25	0.1	4	0
V1'475	326.25	0.1	8	0
V1'476	326.25	0.2	1	0
V1'477	326.25	0.2	2	0
V1'478	326.25	0.2	4	0
V1'479	326.25	0.2	8	0
V1'480	337.5	0.025	1	0
V1'481	337.5	0.025	2	0
V1'482	337.5	0.025	4	0
V1'483	337.5	0.025	8	0
V1'484	337.5	0.05	1	0
V1'485	337.5	0.05	2	0.205101
V1'486	337.5	0.05	4	0
V1'487	337.5	0.05	8	0
V1'488	337.5	0.1	1	0
V1'489	337.5	0.1	2	0.0146917
V1'490	337.5	0.1	4	0
V1'491	337.5	0.1	8	0
V1'492	337.5	0.2	1	0
V1'493	337.5	0.2	2	0
V1'494	337.5	0.2	4	0
V1'495	337.5	0.2	8	0
V1'496	348.75	0.025	1	0
V1'497	348.75	0.025	2	0
V1'498	348.75	0.025	4	0
V1'499	348.75	0.025	8	0
V1'500	348.75	0.05	1	0
V1'501	348.75	0.05	2	0.129276
V1'502	348.75	0.05	4	0
V1'503	348.75	0.05	8	0
V1'504	348.75	0.1	1	0
V1'505	348.75	0.1	2	0.0079018
V1'506	348.75	0.1	4	0
V1'507	348.75	0.1	8	0
V1'508	348.75	0.2	1	0
V1'509	348.75	0.2	2	0
V1'510	348.75	0.2	4	0
V1'511	348.75	0.2	8	0
