MT_Neuron Name       :	SIM:MT'0	SIM:MT'1	SIM:MT'2	SIM:MT'3	SIM:MT'4	SIM:MT'5	SIM:MT'6	SIM:MT'7
122	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
123	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
124	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
125	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
126	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
127	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
128	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
129	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
130	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
131	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
132	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
133	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
134	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
135	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
136	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
137	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
138	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
139	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
140	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
141	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
142	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
143	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
144	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
145	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
146	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
147	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
148	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
149	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
